Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,9.05833,16.025,0.144952,0.138266
1,33.6083,34.3,0.128911,0.121803
2,37.0667,38.9,0.119415,0.11488
3,39.7667,40.475,0.115131,0.113928
4,43.5417,50.075,0.113239,0.113724
5,46.425,58.125,0.110929,0.113201
6,48.7833,57.725,0.108949,0.110333
7,51.7833,58.25,0.107342,0.106817
8,54.3333,62.4,0.106135,0.107347
9,57.25,63.45,0.105132,0.105494
10,58.6583,63.725,0.104044,0.103369
11,59.675,62.125,0.104204,0.101303
12,59.825,61.7,0.103203,0.10041
13,60.5167,62.125,0.102652,0.100031
14,60.8,62.675,0.102391,0.099767
15,61.4083,63.075,0.102148,0.0994252
16,61.7833,63,0.101968,0.0994294
17,61.6083,63.275,0.101646,0.0993761
18,61.6083,62.625,0.101542,0.0995975
19,61.3667,62.675,0.101373,0.0993143
20,61.0583,62.4,0.100822,0.0994737
21,59.475,52.8,0.100046,0.0966533
22,55.1333,50.125,0.096435,0.0925288
23,55.9167,55.05,0.0904126,0.0866566
24,56.8333,57.65,0.08709,0.084974
25,57.6583,58.35,0.0854329,0.0845577
26,57.8167,59.275,0.0843677,0.0848224
27,58.125,59.675,0.0834534,0.0847049
28,58.1667,60.75,0.0829913,0.0847244
29,58.8167,61.125,0.082714,0.0843591
30,58.6,60.6,0.0823349,0.0836524
31,58.8917,60.725,0.0813736,0.0854361
32,59.425,61.625,0.0809381,0.0841886
33,59.9667,62.95,0.0811286,0.0844786
34,60.3333,63.725,0.0807771,0.0834707
35,59.8833,63.575,0.0814796,0.084158
36,59.7917,65.725,0.0809769,0.0837929
37,61.8,64.45,0.0812634,0.0843518
38,61.675,63.275,0.0811961,0.0868978
39,60.6667,64.175,0.0809084,0.0847848
40,63.025,62.8,0.0814565,0.087395
41,62.075,63.125,0.0800043,0.0862936
42,61.4667,64.5,0.0815439,0.085033
43,61.7833,64.8,0.080833,0.0859356
44,62.2667,65.275,0.0809275,0.0835483
45,61.8667,63.6,0.0807347,0.085988
46,61.4583,63.15,0.0809174,0.0849376
47,60.3167,64.675,0.0807215,0.086242
48,60.2667,62.5,0.0802072,0.0848502
49,60.675,63.55,0.0811737,0.0861835
50,62.4667,63.3,0.079693,0.0834539
51,62.3167,54.475,0.0805793,0.0868834
52,62.6667,66.925,0.0795546,0.0850938
53,63.3,67.475,0.0803723,0.0831489
54,63.1417,67.05,0.0800157,0.0833582
55,62.4583,65.575,0.0807435,0.0836335
56,61.7667,65.675,0.0800153,0.082686
57,62.9167,65.55,0.0799064,0.0852425
58,62.75,66.55,0.0802728,0.0863523
59,61.6583,68.425,0.0799107,0.0822539
60,62.9333,66.55,0.0801559,0.0859707
61,62.8833,67.3,0.0798415,0.0875928
62,62.5333,66.525,0.0795075,0.0834681
63,63.55,66.775,0.0795333,0.0807329
64,63.6667,66.825,0.0797367,0.0826455
65,63.0833,66.775,0.0794716,0.0852789
66,62.4417,62.475,0.0794643,0.0824706
67,62.9417,63.8,0.0793743,0.0807355
68,62.4833,66.675,0.0789788,0.0820737
69,62.6917,66.7,0.0796179,0.0802983
70,62.4917,63.575,0.0793343,0.0816209
71,62.45,66.3,0.0795478,0.0816215
72,60.9333,68.05,0.0796266,0.0851507
73,63.2583,64.525,0.079674,0.0828386
74,62.9667,67.2,0.0793658,0.080442
75,62.5167,66,0.0796787,0.081549
76,61.5833,63.25,0.0797086,0.0823089
77,62.375,65.15,0.079892,0.0817074
78,62.9167,65.525,0.0796985,0.0830182
79,61.425,64.4,0.0792733,0.0809588
80,61.9,66.15,0.0802537,0.0801789
81,62.7917,63.95,0.0793002,0.0823105
82,62.3,63.85,0.0794557,0.0870369
83,62.8583,64.825,0.0795729,0.0825682
84,63.275,66.45,0.0786771,0.0810513
85,63.4917,65.4,0.0786889,0.0831876
86,62.4333,62.925,0.079081,0.0863769
87,63.15,64.825,0.0784373,0.082608
88,63.2583,63.85,0.0792791,0.0857598
89,61.925,66.3,0.0799925,0.0814954
90,62.05,64.325,0.0788804,0.0863264
91,62.2,62.3,0.0797194,0.0871727
92,62.5,63.45,0.0788131,0.0810633
93,63.2667,63.525,0.0784209,0.0910168
94,62.1167,64.125,0.0806242,0.0815998
95,61.75,66,0.0792621,0.0807654
96,61.475,65.45,0.0788291,0.0808196
97,62.4917,64.225,0.0788582,0.0812976
98,64,61.475,0.0796138,0.0860681
99,62.85,66.925,0.0792809,0.0829826
100,64.0333,64.675,0.0783827,0.0822075
101,62.625,65.65,0.078439,0.0808284
102,61.55,64.5,0.0788461,0.0801291
103,62.525,63.425,0.0786837,0.081
104,62.65,63.725,0.0785243,0.0845766
105,62.225,65.125,0.0790444,0.0796542
106,62.7,64.575,0.0792944,0.0796699
107,62.4833,64.775,0.0790254,0.0818252
108,62.375,63.575,0.0785551,0.084626
109,63.2667,65.675,0.078739,0.0808073
110,63.1917,61.9,0.0785465,0.083668
111,62.2583,64.925,0.0782256,0.0811421
112,62.2083,66.25,0.0783755,0.0819587
113,62.8417,65.15,0.0776825,0.0833951
114,61.9083,61.425,0.0792016,0.0861995
115,62.8417,64.4,0.0784653,0.0813696
116,62.2333,64.675,0.0790203,0.0803974
117,62.5667,66.725,0.0779869,0.0819518
118,62.1583,65.7,0.0780226,0.0843104
119,62.7083,62.525,0.0777077,0.0824333
120,62.8,66.6,0.077822,0.0814543
121,62.9833,64.375,0.0781145,0.0830503
122,63.3083,66.125,0.0781253,0.0797772
123,63.2583,66.825,0.0780248,0.0815282
124,63.3083,66.625,0.0789615,0.0786963
125,64.1,63.325,0.0782629,0.0825433
126,63.5,63.475,0.0778809,0.0862029
