Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.124231,0.117323
5,33.675,35.525,0.083307,0.0806716
10,41.35,42.6,0.0707184,0.0682215
15,46.275,46.525,0.0616925,0.0597512
20,49.0417,50.175,0.0563585,0.0549303
25,50.4417,52.45,0.0529942,0.0520479
30,52.9167,56.125,0.0504011,0.050077
35,55,59.475,0.0483805,0.0484874
40,56.4167,60.15,0.0466668,0.0464413
45,57.0583,59.375,0.0456337,0.0448386
50,57.9083,58.6,0.0449477,0.0441081
55,58.4083,58.375,0.0443946,0.0438605
60,58.8833,58.45,0.0438101,0.043879
65,59.5167,58.575,0.0433256,0.043779
70,59.9167,58.95,0.0428689,0.0440022
75,60.3833,59.475,0.0426517,0.0441662
80,60.7583,60.175,0.0424662,0.0444208
85,61.35,60.6,0.0422436,0.0446436
90,61.85,60.775,0.042117,0.045025
95,62.5417,61.075,0.041926,0.0451142
100,63.0333,61.725,0.0417867,0.0451857
105,63.3,62.25,0.0417336,0.045251
110,63.4333,62.75,0.0416626,0.0453178
115,63.7,63.125,0.0415179,0.0452739
120,64.0167,63.35,0.0413074,0.0450293
125,64.1917,63.675,0.0412808,0.0448892
